Year,Spr.Trs,Pk.Ht,Pk.Loc
2003,105,0.66,270
2004,89,0.43,250
2005,106,0.25,284
2006,108,0.21,273
2007,71,0.44,280
2008,36,0.58,243
2009,67,0.58,250
2010,99,0.48,275
2011,90,0.37,266
2012,114,0.16,266
2013,96,0.46,249
2014,94,0.22,250
2015,46,0.52,273
2016,81,0.24,268
